88 6
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 
2 4 6 7 8 9 1 11 13 14 15 16 3 17 5 19 21 22 23 24 10 25 12 27 29 30 31 32 18 33 20 35 37 38 39 40 26 41 28 43 45 46 47 48 34 49 36 51 53 54 55 56 42 57 44 59 61 62 63 64 50 65 52 67 69 70 71 72 58 73 60 75 77 78 79 80 66 81 68 83 84 85 86 74 87 76 88 82 
3 6 1 9 10 2 13 14 4 5 17 18 7 8 21 22 11 12 25 26 15 16 29 30 19 20 33 34 23 24 37 38 27 28 41 42 31 32 45 46 35 36 49 50 39 40 53 54 43 44 57 58 47 48 61 62 51 52 65 66 55 56 69 70 59 60 73 74 63 64 77 78 67 68 81 82 71 72 84 85 75 76 87 79 80 88 83 86 
4 7 9 1 11 13 2 15 3 17 5 19 6 21 8 23 10 25 12 27 14 29 16 31 18 33 20 35 22 37 24 39 26 41 28 43 30 45 32 47 34 49 36 51 38 53 40 55 42 57 44 59 46 61 48 63 50 65 52 67 54 69 56 71 58 73 60 75 62 77 64 79 66 81 68 83 70 84 72 86 74 87 76 78 88 80 82 85 
5 80 10 11 12 85 86 2 17 18 19 20 88 6 7 8 25 26 27 28 13 14 15 16 33 34 35 36 21 22 23 24 41 42 43 44 29 30 31 32 49 50 51 52 37 38 39 40 57 58 59 60 45 46 47 48 65 66 67 68 53 54 55 56 73 74 75 76 61 62 63 64 81 82 83 1 69 70 71 72 87 3 4 77 78 79 9 84 
6 9 2 13 14 4 3 17 7 8 21 22 1 11 10 25 15 16 29 30 5 19 18 33 23 24 37 38 12 27 26 41 31 32 45 46 20 35 34 49 39 40 53 54 28 43 42 57 47 48 61 62 36 51 50 65 55 56 69 70 44 59 58 73 63 64 77 78 52 67 66 81 71 72 84 85 60 75 74 87 79 80 88 68 83 82 86 76 
7 1 13 2 15 3 4 5 6 21 8 23 9 10 11 12 14 29 16 31 17 18 19 20 22 37 24 39 25 26 27 28 30 45 32 47 33 34 35 36 38 53 40 55 41 42 43 44 46 61 48 63 49 50 51 52 54 69 56 71 57 58 59 60 62 77 64 79 65 66 67 68 70 84 72 86 73 74 75 76 78 88 80 81 82 83 85 87 
8 83 14 15 16 87 76 4 21 22 23 24 82 9 1 11 29 30 31 32 3 17 5 19 37 38 39 40 10 25 12 27 45 46 47 48 18 33 20 35 53 54 55 56 26 41 28 43 61 62 63 64 34 49 36 51 69 70 71 72 42 57 44 59 77 78 79 80 50 65 52 67 84 85 86 2 58 73 60 75 88 6 7 66 81 68 13 74 
9 13 4 3 17 7 6 21 1 11 10 25 2 15 14 29 5 19 18 33 8 23 22 37 12 27 26 41 16 31 30 45 20 35 34 49 24 39 38 53 28 43 42 57 32 47 46 61 36 51 50 65 40 55 54 69 44 59 58 73 48 63 62 77 52 67 66 81 56 71 70 84 60 75 74 87 64 79 78 88 68 83 82 72 86 85 76 80 
10 85 5 17 18 80 88 6 11 12 25 26 86 2 13 14 19 20 33 34 7 8 21 22 27 28 41 42 15 16 29 30 35 36 49 50 23 24 37 38 43 44 57 58 31 32 45 46 51 52 65 66 39 40 53 54 59 60 73 74 47 48 61 62 67 68 81 82 55 56 69 70 75 76 87 3 63 64 77 78 83 1 9 71 72 84 4 79 
11 86 17 5 19 88 80 7 10 25 12 27 85 13 2 15 18 33 20 35 6 21 8 23 26 41 28 43 14 29 16 31 34 49 36 51 22 37 24 39 42 57 44 59 30 45 32 47 50 65 52 67 38 53 40 55 58 73 60 75 46 61 48 63 66 81 68 83 54 69 56 71 74 87 76 4 62 77 64 79 82 9 1 70 84 72 3 78 
12 72 18 19 20 78 79 80 25 26 27 28 84 85 86 2 33 34 35 36 88 6 7 8 41 42 43 44 13 14 15 16 49 50 51 52 21 22 23 24 57 58 59 60 29 30 31 32 65 66 67 68 37 38 39 40 73 74 75 76 45 46 47 48 81 82 83 1 53 54 55 56 87 3 4 5 61 62 63 64 9 10 11 69 70 71 17 77 
13 3 7 6 21 1 9 10 2 15 14 29 4 5 17 18 8 23 22 37 11 12 25 26 16 31 30 45 19 20 33 34 24 39 38 53 27 28 41 42 32 47 46 61 35 36 49 50 40 55 54 69 43 44 57 58 48 63 62 77 51 52 65 66 56 71 70 84 59 60 73 74 64 79 78 88 67 68 81 82 72 86 85 75 76 87 80 83 
