48 30
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 
2 3 7 8 9 10 1 11 12 13 18 19 20 21 22 23 24 4 5 6 25 26 27 28 32 33 34 35 36 37 38 14 15 16 17 39 40 41 43 44 45 46 29 30 31 47 48 42 
3 7 1 11 12 13 2 18 19 20 4 5 6 25 26 27 28 8 9 10 32 33 34 35 14 15 16 17 39 40 41 21 22 23 24 43 44 45 29 30 31 47 36 37 38 48 42 46 
4 21 11 14 15 16 32 2 36 37 25 26 27 1 29 30 31 7 43 44 8 9 10 46 3 39 40 41 5 6 42 18 19 20 48 22 23 24 12 13 47 17 33 34 35 38 28 45 
5 10 12 16 1 17 20 38 24 2 27 3 28 42 31 4 6 45 35 7 36 23 22 9 47 41 11 13 30 29 15 43 34 33 19 21 46 8 40 39 26 14 32 48 18 37 25 44 
6 9 13 31 17 1 19 23 2 24 41 28 3 29 16 15 5 34 7 35 46 38 8 10 39 27 26 12 14 42 4 48 45 18 20 37 36 22 25 47 11 30 44 43 33 21 40 32 
7 1 2 18 19 20 3 4 5 6 8 9 10 32 33 34 35 11 12 13 14 15 16 17 21 22 23 24 43 44 45 25 26 27 28 29 30 31 36 37 38 48 39 40 41 42 46 47 
8 25 18 21 22 23 14 3 39 40 32 33 34 2 36 37 38 1 29 30 11 12 13 47 7 43 44 45 9 10 46 4 5 6 42 26 27 28 19 20 48 24 15 16 17 41 35 31 
9 13 19 23 2 24 6 41 28 3 34 7 35 46 38 8 10 31 17 1 39 27 26 12 48 45 18 20 37 36 22 29 16 15 5 25 47 11 44 43 33 21 14 42 4 40 32 30 
10 12 20 38 24 2 5 27 3 28 45 35 7 36 23 22 9 16 1 17 47 41 11 13 43 34 33 19 21 46 8 42 31 4 6 40 39 26 32 48 18 37 30 29 15 25 44 14 
11 32 4 25 26 27 21 7 43 44 14 15 16 3 39 40 41 2 36 37 18 19 20 48 1 29 30 31 12 13 47 8 9 10 46 33 34 35 5 6 42 28 22 23 24 45 17 38 
12 20 5 27 3 28 10 45 35 7 16 1 17 47 41 11 13 38 24 2 43 34 33 19 42 31 4 6 40 39 26 36 23 22 9 32 48 18 30 29 15 25 21 46 8 44 14 37 
13 19 6 41 28 3 9 34 7 35 31 17 1 39 27 26 12 23 2 24 48 45 18 20 29 16 15 5 25 47 11 46 38 8 10 44 43 33 14 42 4 40 37 36 22 32 30 21 
14 8 25 1 29 30 18 21 22 23 3 39 40 4 5 6 42 32 33 34 2 36 37 38 11 12 13 47 15 16 17 7 43 44 45 9 10 46 26 27 28 31 19 20 48 24 41 35 
15 37 26 30 4 31 44 24 46 21 40 11 41 17 42 14 16 35 48 32 22 10 9 36 28 47 25 27 6 5 29 33 20 19 43 8 38 2 13 12 39 1 18 45 7 23 3 34 
16 36 27 42 31 4 43 10 21 46 47 41 11 5 30 29 15 20 32 48 38 24 2 37 12 40 39 26 1 17 14 45 35 7 44 23 22 9 3 28 25 6 34 33 19 8 13 18 
17 24 28 15 6 5 35 22 10 9 26 13 12 30 4 31 1 33 20 19 37 8 38 2 40 11 41 3 42 14 16 44 18 45 7 46 21 23 47 25 27 29 48 32 34 36 39 43 
18 14 8 32 33 34 25 1 29 30 21 22 23 7 43 44 45 3 39 40 4 5 6 42 2 36 37 38 19 20 48 11 12 13 47 15 16 17 9 10 46 35 26 27 28 31 24 41 
19 6 9 34 7 35 13 31 17 1 23 2 24 48 45 18 20 41 28 3 29 16 15 5 46 38 8 10 44 43 33 39 27 26 12 14 42 4 37 36 22 32 25 47 11 30 21 40 
20 5 10 45 35 7 12 16 1 17 38 24 2 43 34 33 19 27 3 28 42 31 4 6 36 23 22 9 32 48 18 47 41 11 13 30 29 15 21 46 8 44 40 39 26 14 37 25 
21 11 32 2 36 37 4 25 26 27 7 43 44 8 9 10 46 14 15 16 3 39 40 41 18 19 20 48 22 23 24 1 29 30 31 12 13 47 33 34 35 38 5 6 42 28 45 17 
22 40 33 37 8 38 30 28 47 25 44 18 45 24 46 21 23 17 42 14 26 13 12 39 35 48 32 34 10 9 36 15 6 5 29 11 41 3 20 19 43 2 4 31 1 27 7 16 
23 39 34 46 38 8 29 13 25 47 48 45 18 9 37 36 22 6 14 42 41 28 3 40 19 44 43 33 2 24 21 31 17 1 30 27 26 12 7 35 32 10 16 15 5 11 20 4 
24 28 35 22 10 9 17 26 13 12 33 20 19 37 8 38 2 15 6 5 40 11 41 3 44 18 45 7 46 21 23 30 4 31 1 47 25 27 48 32 34 36 42 14 16 39 43 29 
25 18 14 3 39 40 8 32 33 34 1 29 30 11 12 13 47 21 22 23 7 43 44 45 4 5 6 42 26 27 28 2 36 37 38 19 20 48 15 16 17 41 9 10 46 35 31 24 
26 44 15 40 11 41 37 35 48 32 30 4 31 28 47 25 27 24 46 21 33 20 19 43 17 42 14 16 13 12 39 22 10 9 36 18 45 7 6 5 29 3 8 38 2 34 1 23 
27 43 16 47 41 11 36 20 32 48 42 31 4 12 40 39 26 10 21 46 45 35 7 44 5 30 29 15 3 28 25 38 24 2 37 34 33 19 1 17 14 13 23 22 9 18 6 8 
28 35 17 26 13 12 24 33 20 19 15 6 5 40 11 41 3 22 10 9 44 18 45 7 30 4 31 1 47 25 27 37 8 38 2 48 32 34 42 14 16 39 46 21 23 43 29 36 
29 23 39 6 14 42 34 46 38 8 13 25 47 31 17 1 30 48 45 18 9 37 36 22 41 28 3 40 16 15 5 19 44 43 33 2 24 21 27 26 12 4 7 35 32 10 11 20 
30 22 40 17 42 14 33 37 8 38 28 47 25 15 6 5 29 44 18 45 24 46 21 23 26 13 12 39 4 31 1 35 48 32 34 10 9 36 11 41 3 16 20 19 43 2 27 7 
31 46 41 29 16 15 48 9 37 36 39 27 26 6 14 42 4 19 44 43 23 2 24 21 13 25 47 11 17 1 30 34 7 35 32 38 8 10 28 3 40 5 45 18 20 22 12 33 
32 4 21 7 43 44 11 14 15 16 2 36 37 18 19 20 48 25 26 27 1 29 30 31 8 9 10 46 33 34 35 3 39 40 41 5 6 42 22 23 24 45 12 13 47 17 38 28 
33 30 22 44 18 45 40 17 42 14 37 8 38 35 48 32 34 28 47 25 15 6 5 29 24 46 21 23 20 19 43 26 13 12 39 4 31 1 10 9 36 7 11 41 3 16 2 27 
34 29 23 48 45 18 39 6 14 42 46 38 8 19 44 43 33 13 25 47 31 17 1 30 9 37 36 22 7 35 32 41 28 3 40 16 15 5 2 24 21 20 27 26 12 4 10 11 
35 17 24 33 20 19 28 15 6 5 22 10 9 44 18 45 7 26 13 12 30 4 31 1 37 8 38 2 48 32 34 40 11 41 3 42 14 16 46 21 23 43 47 25 27 29 36 39 
36 27 43 10 21 46 16 47 41 11 20 32 48 38 24 2 37 42 31 4 12 40 39 26 45 35 7 44 23 22 9 5 30 29 15 3 28 25 34 33 19 8 1 17 14 13 18 6 
37 26 44 24 46 21 15 40 11 41 35 48 32 22 10 9 36 30 4 31 28 47 25 27 33 20 19 43 8 38 2 17 42 14 16 13 12 39 18 45 7 23 6 5 29 3 34 1 
38 47 45 36 23 22 42 12 40 39 43 34 33 10 21 46 8 5 30 29 27 3 28 25 20 32 48 18 24 2 37 16 1 17 14 41 11 13 35 7 44 9 31 4 6 26 19 15 
39 34 29 13 25 47 23 48 45 18 6 14 42 41 28 3 40 46 38 8 19 44 43 33 31 17 1 30 27 26 12 9 37 36 22 7 35 32 16 15 5 11 2 24 21 20 4 10 
